author,publish_date,title,text,source,url,"Fakeness (0,1)",Sentiments (0-4),Emotion 1-7,Categories
['Bret Baier’],2020-04-15,Sources believe coronavirus outbreak originated in Wuhan lab as part of China's efforts to compete with US,"Get all the latest news on coronavirus and more delivered daily to your inbox. Sign up here.

EXCLUSIVE: There is increasing confidence that the COVID-19 outbreak likely originated in a Wuhan laboratory, though not as a bioweapon but as part of China's attempt to demonstrate that its efforts to identify and combat viruses are equal to or greater than the capabilities of the United States, multiple sources who have been briefed on the details of early actions by China's government and seen relevant materials tell Fox News.

This may be the ""costliest government cover-up of all time,"" one of the sources said.

The sources believe the initial transmission of the virus – a naturally occurring strain that was being studied there – was bat-to-human and that ""patient zero"" worked at the laboratory, then went into the population in Wuhan.

The “increasing confidence” comes from classified and open-source documents and evidence, the sources said. Fox News has requested to see the evidence directly. Sources emphasized -- as is often the case with intelligence -- that it’s not definitive and should not be characterized as such. Some inside the administration and the intelligence and epidemiological communities are more skeptical, and the investigation is continuing.

What all of the sources agree about is the extensive cover-up of data and information about COVID-19 orchestrated by the Chinese government.

Asked by Fox News' John Roberts about the reporting, President Trump remarked at Wednesday's coronavirus press briefing, ""More and more we're hearing the story...we are doing a very thorough examination of this horrible situation.""

Documents detail early efforts by doctors at the lab and early efforts at containment. The Wuhan wet market initially identified as a possible point of origin never sold bats, and the sources tell Fox News that blaming the wet market was an effort by China to deflect blame from the laboratory, along with the country's propaganda efforts targeting the U.S. and Italy.

U.S. Embassy officials warned in January 2018 about inadequate safety at the Wuhan Institute of Virology lab and passed on information about scientists conducting risky research on coronavirus from bats, The Washington Post reported Tuesday.

Responding to the report, Gen. Mark Milley, the chairman of the Joint Chiefs of Staff, said on Tuesday afternoon: ""It should be no surprise to you that we have taken a keen interest in that and we've had a lot of intelligence take a hard look at that. I would just say at this point, it's inconclusive, although the weight of evidence seems to indicate natural, but we don't know for certain.""

“Even today, I see them withholding information and I think we need to do more to continue to press them to share,” Secretary of Defense Mark Esper told “America’s Newsroom"" on Wednesday, referring to China. Esper added that he wouldn't speak to ""intelligence reporting,"" but that ""most people believe it began naturally — it was organic, if you will. I think in due course, once we get through the pandemic we're in right now, there'll be time to look back and really ascertain what happened and make sure we have a better understanding so we can prevent this in the future.""

Sources point to the structure of the virus, in saying the genome mapping specifically shows it was not genetically altered.

Speaking to ""The Story"" Wednesday evening, Secretary of State Mike Pompeo remarked: ""What we do know is we know that this virus originated in Wuhan, China. We know there is the Wuhan Institute of Virology just a handful of miles away from where the wet market was. There is still lots to learn. You should know that the United States government is working diligently to figure it out.""

Concerning the State Department cables warning about the Wuhan laboratory, Pompeo said the installation ""contained highly contagious materials — we knew that, we knew that they were working on this program, many countries have programs like this. In countries that are open and transparent, they have the ability to control them and keep them safe, and they allow outside observers in to make sure all the processes and procedures are right. I only wish that that had happened in this place.""

On Thursday, China's foreign ministry pushed back on the suspicion that the virus escaped from the facility, by citing statements from the World Health Organization that there is no evidence the coronavirus came from a laboratory.

Americans were originally helping train the Chinese in a program called PREVENT well before the Chinese started working on this virus. The French government helped the Chinese set up the Wuhan lab.

China ""100 percent"" suppressed data and changed data, the sources tell Fox News. Samples were destroyed, contaminated areas scrubbed, some early reports erased, and academic articles stifled.

STATE DEPT LEAKED CABLES RENEW THEORIES ON ORIGINS OF CORONAVIRUS

There were doctors and journalists who were ""disappeared"" warning of the spread of the virus and its contagious nature and human to human transmission. China moved quickly to shut down travel domestically from Wuhan to the rest of China, but did not stop international flights from Wuhan.

Additionally, the sources tell Fox News the World Health Organization (WHO) was complicit from the beginning in helping China cover its tracks.

Trump announced at the White House coronavirus news briefing in the Rose Garden on Tuesday that the United States will immediately halt all funding for the WHO, saying it had put ""political correctness over lifesaving measures."" The United States is the WHO's largest single donor, and the State Department had previously planned to provide the agency $893 million in the current two-year funding period.

Senior administrations separately tell Fox News the rollout of the president’s “blueprint for reopening the U.S. economy” will happen Thursday afternoon, first for governors and then briefed to the press.

Meanwhile, Trump's own handling of the crisis has come into focus. On January 24, for example, Trump tweeted in praise of China’s “transparency"" on coronavirus.

Though they were not speaking for the president, the sources ventured an explanation, saying it was diplomatic talk to make the Chinese ""feel good"" while the investigation was ongoing, with trade and other talks happening simultaneously.

In the six days after top Chinese officials secretly determined they likely were facing a pandemic from a new coronavirus, the city of Wuhan at the epicenter of the disease hosted a mass banquet for tens of thousands of people; millions began traveling through for Lunar New Year celebrations.

TRUMP CUTS ALL WORLD HEALTH ORGANIZATION FUNDING

President Xi Jinping warned the public on the seventh day, Jan. 20. But by that time, more than 3,000 people had been infected during almost a week of public silence, according to internal documents obtained by The Associated Press and expert estimates based on retrospective infection data.

“This is tremendous,” said Zuo-Feng Zhang, an epidemiologist at the University of California, Los Angeles. “If they took action six days earlier, there would have been much fewer patients and medical facilities would have been sufficient. We might have avoided the collapse of Wuhan’s medical system.”

Fox News' Barnini Chakraborty and The Associated Press contributed to this report.",foxnews,https://www.foxnews.com/politics/coronavirus-wuhan-lab-china-compete-us-sources,1,3,Angry-Disgusted,POLITICS
"['Dom Calicchio', 'Paula Doyle']",2020-04-19,California protest erupts over state’s coronavirus stay-at-home rules,"Get all the latest news on coronavirus and more delivered daily to your inbox. Sign up here.

A protest of more than 200 demonstrators broke out in Southern California on Friday against the state’s stay-at-home-orders in reaction to the coronavirus outbreak, according to reports.

The action in Huntington Beach, south of Los Angeles, was similar to others staged this week in Michigan, Ohio and other locations as Americans seek a return to a more normal life after more than a month of mitigation measures intended to slow the spread of the virus, also known as COVID-19.

As in the other locations, demonstrators in Huntington Beach alleged that state-government-imposed restrictions, intended as safeguards, were becoming an infringement on their personal freedoms.

BRET BAIER SAYS 'MORE AND MORE DOTS' POINT TO WUHAN LAB AS ORIGIN OF CORONAVIRUS PANDEMIC

Placards held by protesters Friday held messages such as “Defy Fascist Lockdown,” “Stop the Tyranny, Open California,” and “We Deem Our Governor Non Essential.”

“I don’t think there’s any reason for us to be on lockdown now,” Paula Doyle, 62, of Costa Mesa told the Los Angeles Times. “We didn’t have any dangers. We have no danger in our hospitals now of overflowing.”

“I don’t think there’s any reason for us to be on lockdown now. We didn’t have any dangers. We have no danger in our hospitals now of overflowing.” — Paula Doyle, 62, Costa Mesa resident

Earlier in the week, three Southern California churches filed a lawsuit against Gov. Gavin Newsom, accusing the Democrat of “criminalizing church attendance” with orders limiting social gatherings.

Newsom, 52, a former mayor of San Francisco who became governor in January 2019, issued his stay-at-home order March 19, becoming one of the first governors to do so. The move has been credited with helping the nation’s most populous state keep its infection and fatality numbers relatively low considering its population of some 39.5 million people.

He said Tuesday he foresees a loosening of the state’s stay-at-home orders but did not provide a specific date.

The governor said at a news conference that the public’s adherence to his orders had “bent the curve” on the number of infections in the state, suggesting the limits could end in the near future.

“The models have changed because of your behavior,” Newsom said. “This will not be a permanent state.”

But protesters in Huntington Beach – and oceanfront city of about 200,000 residents – expressed frustration with the governor’s limits during Friday’s demonstration.

CLICK HERE FOR COMPLETE CORONAVIRUS COVERAGE

“It’s not dangerous out here. It’s not,” Benny White, 33, of Compton, told the L.A. Times. “I’ve seen plenty of people out here. The beaches are open. It’s a nice, beautiful day. What are we doing? Stop being a germophobe.”

The protest was organized largely via social media and began around 1 p.m. local time, the Orange County Register reported. Police asked the crowd to break up around 3:30 p.m., the report said.

As of late Friday, California had more than 29,000 confirmed cases of coronavirus and had recorded just over 1,000 deaths.

Fox News’ Danielle Wallace and Andrew O’Reilly contributed to this story.",foxnews,https://www.foxnews.com/us/california-protest-erupts-over-states-coronavirus-stay-at-home-rules,0,3,Angry-Disgusted,POLITICS
['David Aaro'],2020-01-31,Trump says US working closely with China on coronavirus,"President Trump said in an exclusive interview with Fox News late Thursday that his administration is working closely with China during the deadly coronavirus outbreak and said the U.S. was in ""great shape"" thus far in dealing with the illness.

Speaking before he took the stage at his rally in Des Moines, Trump said he was ""dealing very closely with China."" He added the White House would make a statement ""in the next 24 hours and 48 hours.""

The announcement was made as his impeachment trial continued on Thursday. Trump was asked how concerned he was about the deadly virus, which the World Health Organization (WHO) labeled a global health emergency earlier in the day.

STATE DEPARTMENT, CITING CORONAVIRUS OUTBREAK, RAISES CHINA TRAVEL ADVISORY: 'DO NOT TRAVEL'

""We are in great shape. China is not in great shape right now, unfortunately. But they’re working very hard,"" Trump said. ""We’ll see what happens. But we’re working very closely with China and other countries.""

Trump appointed a task force to coordinate the U.S. response to the virus, White House Press Secretary Stephanie Grisham said, according to Bloomberg.

HOW ARE US HOSPITALS PREPARING FOR CORONAVIRUS?

It will reportedly be led by Health and Human Services Secretary Alex Azar, with other members including Robert Redfield, director of the Centers for Disease Control and Prevention, and National Security Adviser Robert O'Brien.

“The task force will lead the administration’s efforts to monitor, contain, and mitigate the spread of the virus, while ensuring that the American people have the most accurate and up-to-date health and travel information,” Grisham said, according to the outlet.

CLICK HERE FOR THE FOX NEWS APP

Trump hasn't said much about the virus, reportedly using a careful approach to avoid upsetting stock markets or China by calling too much attention to it, according to some of his aides and confidants.

The Associated Press contributed to the report",foxnews,https://www.foxnews.com/us/president-trump-speaks-coronavirus,0,3,HAPPY,POLITICS
['Manny Alvarez’],2020-01-31,What you should know about the coronavirus outbreak and how you should prepare,"For the last two weeks, the whole world has been monitoring and keeping tabs on the coronavirus outbreak that started in China.

Every day, we see the contagion growing and thousands of people in China are infected. Today, we see the announcement that the Secretary of Health and Human Services is declaring a national emergency. However, the president's Coronavirus Task Force has emphasized that the American public is at low risk. Even though the strain is new, this virus is similar to those seen in other outbreaks, such as the 2002-2003 SARS outbreak. Yet, it is a deadly virus and there are still many unknowns as so far as the behavior of the disease.

Incubation symptoms usually take from 7 to 14 days and because of the nature of this virus, it is very contagious in human-to-human transmission. I have been asked how worried Americans should be. I believe that rather than worried, we must be proactive and educated.

I am very confident in President Trump’s task force because its membership is composed of brilliant scientists and epidemiologists, as well as leaders of government health care divisions. There are also many scientific companies already working on a vaccine.

CORONAVIRUS DECLARED PUBLIC HEALTH EMERGENCY IN THE US

The most important question is: How do Americans get prepared? I have a few suggestions that I want to share.

We already know about travel bans where this epidemic is growing – so don’t travel to China. We also know that there is going to be monitoring and possible quarantines of patients who have recently arrived from that region.

However, we must also focus on our health. When you look at ways that many people have died from coronavirus, most of those cases have been from pulmonary complications. Most patients die from complications of pneumonia. When you get massive pneumonia from a viral infection, you have severe inflammation of lung tissue, which interferes with oxygenation and ultimately compromises other organs such as your heart, kidneys and liver. In other words, a septic shock develops.

Many times, pneumonia from viral infections also leads to a bacterial infection. This complicates the ability of your body to fight back and makes it difficult for your physicians to treat your infection.

UNITED AIRLINES CANCELS ALL FLIGHTS TO MAINLAND CHINA AMID CORONAVIRUS OUTBREAK

So, here's what we should all think about:

First, most viral pneumonia outbreaks occur in people who are older or very young, i.e. infants. It also occurs in people with chronic diseases such as COPD, cardiac problems, congestive heart failure, Type 2 Diabetes, renal disease, and patients undergoing cancer treatment. Also, individuals with immunodeficiency disorders.

There are, however, some things that we can do to protect ourselves:

If you smoke, now is a good time to stop smoking.

If you are overweight, now is a good time to lose weight.

If you are non-compliant with taking your meds, i.e. blood pressure medication, it is a good time to keep this under control.

If you have Type 2 Diabetes be sure to be compliant with taking your medications and/or insulin.

A balanced diet helps.

Vaccines are important.

Pneumococcal Vaccine

The pneumococcal vaccine is strongly recommended for older folks. Vaccines literally work like armies in your body to fight the infections that could make problems if you develop pneumonia. People over Age 65 should talk to their physician about getting the pneumococcal vaccine.

Flu Vaccine .

This is not a vaccine to think about. The flu vaccine is important for everyone as early as 6 months old. Please get it!

TDAP Vaccine

The famous whooping cough is a problematic disease. This vaccine gives your body the proper antibodies to fight secondary infections that you might get from viral pneumonia.

CLICK HERE TO GET THE FOX NEWS APP

The rationale for all the vaccines that I have mentioned is not that they will directly prevent you from getting the coronavirus, but they can prevent you from getting secondary complications. Getting the proper vaccines improves the ability of your body to fight and that is why it is important for you to consider them.

This is a good time not to worry, but to think about your health. This is a good time to stop the procrastination and have that conversation with your doctor. This is a good time to see how your own health is important and follow up on the recommendations of the doctors that have been advising us all to do the right thing.",foxnews,https://www.foxnews.com/health/what-you-should-know-about-the-coronavirus-outbreak,0,0,HAPPY,WELLNESS
['Jennifer Griffin'],2020-03-30,Army researchers at Fort Detrick who helped discover Ebola treatment seek coronavirus vaccine,"Get all the latest news on coronavirus and more delivered daily to your inbox. Sign up here.

FORT DETRICK, Md. -- Army researchers at Fort Detrick are fast at work growing batches of COVID-19 to help test treatment options and eventually find a coronavirus vaccine.

""They take some of the virus and put it onto cells,"" Dr. Kathleen Gibson, a core laboratory services division chief at the U.S. Army's Medical Research Institute of Infectious Diseases [USAMRIID], explained through a triple-glass window as Army researchers wearing protective gear worked with the deadly virus. ""They look for the virus that will actually kill portions of the cells and they'll count those killed portions.""

These are the same army scientists who helped develop vaccines for anthrax, the plague and Ebola. Now, they have been working double shifts growing large amounts of the COVID-19 virus at this sprawling lab complex.

""We have more capacity to run more studies at the same time,"" Col. E. Darrin Cox, the commander of USAMRIID, explained. ""We can be running things in parallel rather than having to do things sequentially, and that's helped speed up the process of the science.""

Fort Detrick has one of the country's few labs with biosafety level 4-specialized equipment, allowing researchers to work on the most deadly viruses.

It's taken two weeks to grow a lot of COVID-19. Fort Detrick received its first vial of the virus from the Centers for Disease Control and Prevention [CDC] a month ago. Its scientists have started the genetic sequencing of the virus, using machines capable of fast, large-scale drug testing as well.

""We have a large capacity to be able to test a very large number of products. Most other places don't have that infrastructure to be able to develop or test as many products at a time,"" according to Dr. John Dye, the USAMRIID viral immunology chief. ""There are at least eight different companies that are developing vaccines that all can be assessed looking for safety in humans... Having multiple shots on goal is our best chance of being able to basically battle this virus.""

Army researchers have shot compounds such as chloroquine into vials of COVID-19 to see how it's reacted.

""We can test about 300 drugs or compounds in each plate,"" Dr. Sheli Radoshitzky said. ""We add the compounds using this robotic system and then we transfer the plates into bio-containment where we add the virus.""

Since 1969, this warren of Army research labs known as USAMRIID has served as the Defense Department’s lead laboratory for medical biological defense research.

It has worked with biotech firms such as Gilead to discover drugs including Remdesivir -- an antiviral to fight Ebola -- which may work on COVID-19. USAMRIID has worked with the CDC, National Institutes of Health [NIH] and private drug companies to bring these drugs to market.

This past December, a vaccine for Ebola produced in conjunction with Merck received its license, a key step in Food and Drug Administration [FDA] approval. It was several years in the making, but these Army labs found the key particle that led to the discovery.

CORONAVIRUS: WHAT YOU NEED TO KNOW

Men and women in these hallways were some of the first boots on the ground during the first Ebola outbreak.

The Army scientists working with COVID-19 have used level 3 gear because the virus is less lethal than Ebola, but still highly contagious.

A biosafety officer showed Fox News an airlock where scientists have decontaminated after working their shifts. These high-pressure chemical showers acted like a car wash, with scientists showering in their protective gear.

These level 4 labs at Fort Detrick have shifted to COVID-19 research, doubling their ability to find therapeutic drugs and, eventually, a vaccine.

""The anthrax vaccine... we've helped develop. There's also plague vaccines that we've developed here, as well as the vaccines and treatments for Ebola virus. So, there's been a long history, at least 50 years here of research and development all the way from the benchtop to a final clinical product,"" Dye explained.

They have used sneeze labs -- a technology the U.S. Army invented -- to test how the virus has spread through the air.

""It would mimic you and I walking through someone's sneeze. There's a swirl of virus within droplets, so it doesn't exist just in air, but it's in fine droplets of many different sizes,” Maj. Sabrina McGraw, a scientist in the Center for Aerobiology at USAMRIID, explained. ""Large droplets would land on your mouth and eyes, maybe on your hands, on surfaces, small droplets. You breathe them into your nostrils. Some of them make it past your projections, get deep into the lungs.""

A vaccine may take 18 months. These researchers have been moving quickly to animal trials using known therapeutics. Tests using ferrets may eventually hold the key to curing coronavirus in people, according to Cox.

CLICK HERE TO GET THE FOX NEWS APP

""The smaller animals, the ferret is actually a good model. And so, the ACE 2 inhibitor gene that ferrets possess is similar to that in humans,"" Cox said. ""One thing that's going on right now is active determination of the appropriate animal models to further study COVID-19.""

Asked what his message to Americans would be after seeing these Army scientists at work, Army Secretary Ryan McCarthy said, ""These men and women have been here before and they prevailed… We're going to find this vaccine and we're gonna win in the end.""",foxnews,https://www.foxnews.com/health/army-ebola-treatment-coronavirus-vaccine-sought,0,2,HAPPY,SCIENCE
['Javier C. Hernández'],2020-01-18,Deadly Mystery Virus Reported in 2 New Chinese Cities and South Korea,"Still, the commission acknowledged that the source of the virus and its path of transmission were not fully understood.

“The mutation of the virus still needs to be closely monitored,” the statement said.

Of the new patients found in Wuhan over the weekend, 66 were men and 70 women, and their ages ranged from 25 to 89, the health commission reported on Monday. It said that they mostly had symptoms such as fever, coughing and difficulty breathing.

Most people with the infection have contracted it through exposure to animals at a market in Wuhan that sells seafood and live animals, the authorities say. But the health commission in Wuhan said on Sunday that some people who had come down with the virus had no exposure to the market.

That acknowledgment raises the possibility that the virus could be present in other markets in Wuhan, experts said, adding to fears that more people might be at risk.

“If you cannot find the source and control the source of the virus, you cannot extinguish the fire,” said David Hui, the director of the Stanley Ho Center for Emerging Infectious Diseases at the Chinese University of Hong Kong.

Dr. Hui said the risk of the virus spreading from human to human on a broad scale appeared to be low, though he noted that the virus could mutate.

The World Health Organization said on Sunday that while its analysis indicated that limited transmission of the virus is possible, it remained unclear whether it can easily spread from one person to another. The group said it would continue to examine the issue.",nytimes,https://www.nytimes.com/2020/01/18/world/asia/china-virus-wuhan-coronavirus.html,0,1,Surprised,SCIENCE
"['Sui-Lee Wee', 'Donald G. Mcneil Jr.']",2020-01-08,China Identifies New Virus Causing Pneumonialike Illness,"Many questions about the new virus remain. While it appears to be transmitted to humans via animals, the Chinese government has not said which animals, nor has it disclosed other details about the outbreak, like the transmission route, the incubation period or the ages and genders of the patients.

“So, there are still a lot of question marks,” said David Hui, an expert in emerging infections at the Chinese University of Hong Kong.

The authorities in Wuhan are still closely monitoring 163 people who were in close contact with the patients, Dr. Hui said. He added that 15 days, the minimum incubation period for some viral infections, had not yet passed since the last reported instance of the disease, on Dec. 29.

“It’s premature to say that there’s no human-to-human transmission,” Dr. Hui said.

The Wuhan government confirmed on Dec. 31 that the health authorities were treating dozens of cases of pneumonia of unknown cause. Symptoms of the new illness include high fever, difficulty breathing and lung lesions, according to the Wuhan health commission. Seven people have become critically ill, the Wuhan authorities have said. On Wednesday, the local health commission said eight people had been discharged.

Researchers have been encouraged by the fact that patients’ relatives and hospital workers have not been reported to have gotten sick, signaling that the virus may not spread easily among humans.

“We can assume that this virus transmissibility is not that high,” said Guan Yi, a professor of infectious diseases at the University of Hong Kong, who was part of a team that successfully identified the coronavirus that caused SARS.

Dr. Guan said he was not surprised that the virus identified was a coronavirus, because coronaviruses can pass from animals to humans easily. But he said it would probably be a while before researchers came up with treatments for the illness.",nytimes,https://www.nytimes.com/2020/01/08/health/china-pneumonia-outbreak-virus.html,0,1,Surprised,SCIENCE
['Sui-Lee Wee'],2020-02-09,"As Deaths Mount, China Tries to Speed Up Coronavirus Testing","The government’s decision to modify the protocol, unusual in its swiftness, underscored the pressure it is under, particularly in Hubei’s capital, Wuhan, a city of 11 million where pleas from residents desperate for medical help have caused widespread public anger. The vast majority of deaths in China from the coronavirus have been recorded in Wuhan.

Dr. Joe Chang, a specialist at the department of radiation oncology at MD Anderson Cancer Center in Houston, said the use of CT scans to screen patients in Hubei made sense.

“The issue now is the number of patients,” he said. “No country can be prepared for these kinds of numbers.”

In Wuhan, long lines of people snake around the city’s hospitals, and many residents with fevers, coughs and other symptoms of the virus say they can’t get tested.

Yuan Xiuhua, a 49-year-old Wuhan resident, came down with a fever on Jan. 22 and went to a hospital, where CT scans showed lesions in her lungs. She has repeatedly asked her community district, which prioritizes who gets tested for the coronavirus, to give her one, but was told that because there were too many possible cases, she was better off isolating herself at home. Her husband, she said, recently came down with a fever and diarrhea.

Ms. Yuan said she was still calling her community district every day to ask for a test.

“They keep on saying that there are no free spots,” she said. “They didn’t provide me with any help. They’ve just made me wait.”

Faced with criticism over the slow response in the first weeks of the outbreak, Beijing has ordered increasingly extreme measures. The government in Wuhan was to hospitalize or place in mass quarantine centers all confirmed infected patients.",nytimes,https://www.nytimes.com/2020/02/09/world/asia/china-coronavirus-tests.html,0,3,Fearful,SCIENCE
['Amy Qin'],2020-02-09,Her Grandmother Got the Coronavirus. Then So Did the Whole Family.,"Then Ms. Zhang’s grandfather, already weak from lung cancer, suddenly took a turn for the worse. He had been using an oxygen machine to support his breathing for 30 minutes in the morning and again at night. Now he couldn’t breathe at all, and needed to be hooked up to the machine around the clock. He came down with a high fever. For four days he was so uncomfortable that he couldn’t sleep, Ms. Zhang said.

Desperate to find help, Ms. Zhang and her family called everyone they could think of. But the hospitals were all full. Emergency responders told them they needed to secure a hospital bed first before an ambulance could be sent.

Ms. Zhang was devastated to see her grandfather, who had helped raise her, nearing death. Overnight, her social media feed, normally full of food and travel photos, became a flood of urgent cries for help. In a last-ditch effort, she called a hotline for the city’s mayor. But an operator had no answers, and asked her what they planned to do.

“You’re asking me, an ordinary citizen, how to resolve this?” she replied. She hung up.

That afternoon, her grandfather died in the family’s apartment.

Workers from a funeral home arrived to take his body away. They said that because he had possibly been infected with the virus, the family was not allowed to accompany the body and it had to be cremated immediately.

But they had no time to mourn. Ms. Zhang’s grandmother was now deteriorating rapidly. They took her to a hospital, where a doctor said that her lungs appeared on a CT scan as almost entirely white — signs of severe pneumonia. She later tested positive for the coronavirus.",nytimes,https://www.nytimes.com/2020/02/09/world/asia/coronavirus-family-china.html,0,4,Sad,WELLNESS
['Neil Irwin'],2020-03-09,Why the Outlook for the Economy Just Got Worse,"The Federal Reserve is likely to take further actions to contain the damage for the economy and financial markets. Not only do futures markets indicate the Fed will cut its short-term interest rate target more in the coming weeks, but the yield on 10-year United States Treasury bonds also fell to a mere 0.54 percent, and the 30-year bond now yields only 1 percent. Those numbers strongly suggest investors expect the Fed to keep rates near zero — or conceivably below zero at some point — for a very long time.

The oil price rout — a barrel of West Texas Intermediate Crude was at $31.13, down 25 percent in a single day and around half its level at the start of the year — implies trouble to come in the American oil patch.

Cheaper oil will create benefits for American consumers and for oil-consuming industries. But as the shale gas industry has grown and the United States has become a net energy exporter, the balance has changed in how cheaper energy affects the economy.

The pain of cheap oil will tend to be highly concentrated in oil-producing locations, and will have an outsize impact on capital spending. (Spending on energy is a major driver of demand for heavy industrial equipment.) A telling indicator: Shares of Halliburton, the leading maker of energy equipment, were down 38 percent Monday, compared with about 7 percent for the overall market.

The United States has experienced something like this before, in late 2015 and early 2016, when a drop in commodity prices caused an economic slump that was most pronounced in the oil patch and in heavy industry.

In that episode, the overall United States economy kept humming along because consumer spending and service industries were mostly unaffected. What makes the outlook for 2020 seem so different is that the oil price swoon is coming at the same time coronavirus appears likely to wallop those sectors.

The damage is still highly uncertain. But if large gatherings like conferences and concerts continue to be canceled, and more people decide they will not fly this summer and stay home more generally, it’s likely to cripple the consumer-driven side of the economy.",nytimes,https://www.nytimes.com/2020/03/09/upshot/coronavirus-oil-prices-bond-yields-recession.html,0,4,Fearful,BUSINESS
